asin,category,rating,review_title,body_en,sentiment_weak,manual_label
B0GGLXDQM8,coffee maker,1,Buyer beware - don't make the mistake of buying this product,"I wanted to love this coffee maker so much, I really did. It's definitely a fun design and looks great, and it worked like a charm for a couple of months, but then I started having the same issue that so many others started having when their pot wasn't very old. It started steaming up a storm (literally making the machine soaking wet with steam sweat as it tried to brew) and brewing very, very little coffee... and having a burnt taste to what actually did end up in the pot. On top of that, the carafe is incredibly thin and fragile. My first one cracked by the handle within weeks, and after some teeth pulling I managed to get a replacement from the company... but then, a little over a month later, the brewer itself stopped working. I know I've read about a 1-year warranty, but I honestly don't even think it's worth the hassle trying to get a replacement for a crappy coffee brewer that's just going to crap out on me again after a few months. For example, when I tried to get a replacement carafe... I first contacted Amazon and was told I had to go directly to Nostalgia, so I did. I emailed them first, but after many days did not hear back. I then found a phone number and called. After a looooooong hold time I finally spoke to someone and she was very nice and said she was sending me a new pot (despite their website saying they were out of stock). A day after I spoke to this lady on the phone someone else replied to my email and said they couldn't send me a new carafe. I told her that I spoke to someone who said they would send me a new carafe to which this person basically replied, ""so she did."" It sounded like the person on the email didn't want to send me a replacement at all despite them actually having them in stock. I'm glad I got someone on the phone, because they did come through... but that's still a bit shady - hence why I don't even feel like dealing with trying to replace the whole crappy unit now that it's crapped out on me. I'm sadly tossing this in the trash and putting money towards a top rated and top notch coffee brewer. No fun nostalgia in my kitchen, design wise, but I'd rather have functionality any day of the week.",negative,negative
B0014D8GTY,yamaha acoustic guitar,1,Lost all brightness and sustain too quickly,"They lasted about 2 weeks of fairly regular playing. Replaced them with another brand and 6 weeks later, still bright as ever.",negative,negative
B002YX0GAA,candle,1,Package not secured.,"Package was not secured, I had to clean the mess. Smells good though",negative,negative
B08FJ678YK,air purifier,1,WARNING WARNING WARNING,"I've made a complaint to amazon supoprt. If you haven't noticed it like my this product is not European, its American and 110 volts. No idea why they are listing it on European site without sufficient warning. Better tittle might be Levoit Vital 100 Air Purifiers (110 volt US)",negative,negative
B0006ZAU22,yamaha acoustic guitar,2,Electric features disconnect intermittently,"While I love this guitar as an acoustic, the electric features leave much to be desired. I purchased this for play in live settings, but learned soon after the purchase that the amplification would stop for no reason right in the middle of a song. It only requires that the cable be unplugged and reinserted, but this is very inconvenient when it happens mid song. Acoustically I would give this guitar 5 stars. Electrically I give it 2 stars.",negative,negative
B00006IV0Q,coffee maker,1,Doesn't work in most of the world!,"it's 110volts, half-powered and will burn itself up if you simply use an adapter. very inconvenient and expensive to return to las vegas.",negative,negative
B0D1DRYBTN,electric toothbrush,1,Termina siendo un cepillo manual,"Don't buy it!! It's throwing your money away, it suddenly stops working, the charger doesn't charge, the motor stops working... and it stops working when you can't return it, and the warranty is a problem! LOOK FOR ANOTHER OPTION",negative,negative
B0DGFXBFCT,instant pot,1,Very Disappointed – Would Not Recommend,"I do not recommend this pressure cooker to anyone. Buying it was a big mistake, and I regret spending money on it. The baking function is terrible. No matter what I tried, cakes and other baked food always came out undercooked in the middle. Rice and other grains also cook poorly and often do not turn out properly. The only thing it does reasonably well is make soup. The biggest problem is the lid. It is very heavy and difficult to close correctly. We used this cooker for only a few months. One day we closed the lid, and now it is completely stuck. It will not turn or open no matter what we do. This is unacceptable for a product like this. I am very disappointed with this purchase and would never buy this product again. I hope my review helps others avoid making the same mistake.",negative,negative
B0C1Z64LJR,t-shirt,1,Missing item,"Very disappointed with this purchase I only received 2 shirts it was supposed to be 3 , and the shirts where grossly oversized, the size tag was cut off . I did not return the items because it would have cost me another 40 au$",negative,negative
B0DL86NC5Z,portable charger,1,El cargador de iPhone no funcionaba correctamente,"I had to return the charger. At first it worked fine, but after a couple of uses, the iPhone charger stopped working. I had to unplug it and plug it back in to get it to charge again.",negative,negative
B08WSTTCMG,electric toothbrush,1,Mismatched items cost time and money!,"I had one of these and loved it. I even rave about the product to my friends and bought one for Christmas as a gift for one of my best friends. It ended up being a mistake with plenty of consequences. The unit didn’t work, and after several attempts of investigating it once she turned it over to me, I found that the base unit and the toothbrush don’t match IDs, so the highly touted wireless connection didn’t work and would never work since they are tied to the unit’s ID. This careless mistake on the manufacturer’s side meant I was forced to take back the present and return it. I had to then personally repack it and bring it to the post office and pay $66.60 to ship it back. Amazon is only going to reimburse me for half of that, and only weeks from now. Terrible service on both Amazon’s part (I’ve always been able to get returns picked up but they don’t offer it anymore) as well as Waterpik for screwing up in the first place!",negative,negative
B0C4BZ28PG,bluetooth speaker,2,Look elsewhere,"I would not recommend this soundbar. I give it 2 stars because it does improve the sound of the tv speakers, it is relatively easy to set up with a Fire tv, and the control of the soundbar works seamlessly with the Fire tv remote; but there are so many glitches that make it undesirable. First of all, the sound quality is improved over the tinny tv speakers but nothing to blow you away. I have it in a small bedroom, and the sound quality is merely acceptable. Secondly, the volume control only increases or decreases by 2's. (For example: 20,22,24, etc). This isn't a deal breaker, but it's annoying to not have control over it. Lastly, and most bothersome, whenever there is a power blip, I have to perform what is called an HDMI handshake. I have to unplug the HDMI cable from both the tv and the speaker, turn everything off, wait 30 seconds, and then reconnect and turn the volume extremely high before it kicks back in. I sometimes need to perform this several times before I get any sound from the bar. I have owned numerous other soundbars through the years and have never been this disappointed with the quality and performance.",negative,negative
B0H6M2J4GK,coffee maker,1,No customer service when things go wrongly,"Stay away!!! I ordered this machine because I have limited space. It made OK coffee but it broke within two months. Since the coffee pot is made and sold via a Chinese company, there is no customer service and I guess no warranty either. I went to their website but the contact information tab doesn’t display contact info. I went to the Amazon online store and again no contact information. Shame on Amazon for associating with such a vendor.",negative,negative
B0BRKPVZB4,bluetooth speaker,1,سيئه للغايه,I received it today and since the time it arrived I have been putting it on the charger because I thought the battery was empty and until now it has been 5 hours and every time I start playing music it turns off. I think that those who wrote comments belong to the seller.,negative,negative
B0GF1GYKW5,desk lamp LED,1,Buyer Beware,"If I could give it zero stars, I would. It doesn't hold its shape at all and sags with time. The light is not very bright a d the settings don't change the brightness very much.",negative,negative
B0FVTJN9Y2,phone stand,1,Not charging fast,Does charger past 50%,negative,negative
B0BN6RRD5V,gaming chair,2,Stoel van matige kwaliteit,"The chair soon started to creak and the foam in the seat is very thin, so you quickly sit on the wood. After 6 months of use, the covering (skin) begins to wear and chafe.",negative,negative
B002YI2IG0,coffee maker,2,A cafeteira nao esta esquentando a cafe suficientemente.,"The coffee maker is not heating the coffee sufficiently. I've always liked this brand, but this machine isn't working properly.",negative,negative
B089P1LLFS,yamaha acoustic guitar,1,"Not an adult size, made for kids","Had to return as I had ordered it for myself (an adult) and because it’s not well listed, it’s actually a child sized guitar. Was very disappointed, as I really wanted a pink guitar.",negative,negative
